run_id,environment_parameters.rewDeltaThetaSum,c,DeltaThetaAvg,VelocityAvg,h,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,Final Mean Episode Length,p
g12,4,0.034230662,0.313997453,12.56912712,0,0.835113807,16000000,12.41620064,64562,0.940947804,2210,1628,5,362,220,0,62352,48.60205164,0.965769338
g21,12,0.040959198,0.223520538,10.91911378,0,0.770037652,16000000,12.38418088,57423,0.913502276,2352,1700,11,477,171,0,55070,54.81342427,0.959023388
g1,0.2,0.020950016,0.788011808,7.737250402,2.64E-05,0.865508724,16000000,13.07320664,37852,0.977559478,793,234,2,317,240,1,37057,83.6833546,0.978997147
g15,5.5,0.027370079,0.297380091,12.47977789,0,0.831171697,16000000,12.54977794,63500,0.942661096,1738,1114,4,378,243,0,61762,49.44774628,0.972629921
g0,0,0.020159264,1.282543536,14.02873134,0,0.923709347,16000000,12.72385437,65677,0.950006946,1324,704,7,474,146,0,64352,47.79403532,0.97982551
g18,8,0.033172558,0.245530303,11.37692417,0,0.815529312,16000000,12.36448615,59296,0.934010249,1967,1284,7,459,220,0,57329,53.04159359,0.966827442
g3,0.6,0.025549273,0.615433391,13.76362391,0,0.891525861,16000000,12.52151233,67908,0.959778148,1735,1020,6,502,207,0,66173,46.17026964,0.974450727
g6,1.2,0.026936277,0.468144251,13.56812424,0,0.878701219,16000000,12.6416555,67307,0.947712648,1813,1092,7,478,242,0,65494,46.59288535,0.973063723
g20,10,0.028526025,0.170233441,7.404064597,0.000521023,0.761833227,16000000,12.532415,38386,0.959498769,1095,546,3,274,273,20,37269,82.50776523,0.970900849
g9,2.5,0.02597461,0.358248917,13.15927252,0,0.872563858,16000000,12.39164164,66719,0.947629006,1733,1148,5,312,273,0,64980,47.01383328,0.973935461
g11,3.5,0.0183963,0.222942102,7.524976488,2.60E-05,0.836510211,16000000,12.71692093,38486,0.971096909,708,366,3,213,126,1,37776,82.29043451,0.981551733
g16,6,0.035597414,0.271821786,12.19399408,0,0.815635415,16000000,12.33364424,62645,0.931333764,2230,1698,4,344,188,0,60415,50.14446027,0.964402586
g17,7,0.027800266,0.257411069,12.0401689,0,0.828878109,16000000,12.35571061,61762,0.92872471,1717,1318,3,274,121,0,60045,50.87376965,0.972199734
g10,3,0.024435457,0.348854475,12.97794074,0,0.866868688,16000000,12.54902995,65274,0.952204164,1595,1014,2,360,219,0,63679,48.0758155,0.975564543
g19,9,0.037290357,0.233119383,11.51508234,1.68E-05,0.78983516,16000000,12.34780642,59506,0.914730588,2219,1754,8,334,130,1,57285,52.85613967,0.962676033
g22,15,0.032141074,0.140714376,7.180312553,0.000236525,0.742831568,16000000,12.3538798,38051,0.954844723,1223,664,1,480,78,9,36815,83.25718023,0.967517279
g14,5,0.027967941,0.285222831,11.66909988,1.67E-05,0.838242834,16000000,12.56500547,59890,0.936767185,1675,1152,4,360,160,1,58213,52.47952292,0.971998664
g5,1,0.024451598,0.512570027,13.43697694,0,0.891583938,16000000,12.56930572,66785,0.947318385,1633,1002,8,398,233,0,65152,46.96295338,0.975548402
g4,0.8,0.024821458,0.561096315,13.41940277,0,0.891839268,16000000,12.67640067,65951,0.955472547,1637,760,2,459,416,0,64314,47.57717821,0.975178542
g7,1.5,0.02751612,0.413802182,13.29794317,0,0.882898807,16000000,12.46943811,67306,0.954550205,1852,1192,4,482,174,0,65454,46.60035345,0.97248388
g8,2,0.022279888,0.409062489,12.8893869,0,0.879771407,16000000,12.46296163,65126,0.948001157,1451,946,2,304,198,0,63675,48.19678885,0.977720112
g2,0.4,0.025661483,0.738387988,14.15109037,0,0.896917305,16000000,12.7342078,68936,0.959687236,1769,1006,7,450,313,0,67167,45.47950135,0.974338517
g13,4.5,0.032305318,0.274429469,12.44183628,0,0.835524213,16000000,12.45728686,63488,0.930199149,2051,1508,6,313,229,0,61436,49.45823971,0.967678931
g23,20,0.029421274,0.133992171,7.113406541,0.000996875,0.720171521,16000000,12.40796795,37116,0.947689837,1092,662,2,317,110,37,35986,85.33079051,0.969554909
