run_id,environment_parameters.carScaleTrain,environment_parameters.try,p,NearestCarDistAvg,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c,h
g12,1.02,1,0.975001547,12.78772081,1.153477507,48.56698335,0.928283428,16000000,64644,14.69178915,0.944221313,1616,652,13,768,193,0,63028,13.72805173,0.024998453,0
g21,1.2,1,0.725051041,14.19266872,1.343455022,97.02378966,0.545097865,16000000,32817,14.71531314,0.744914073,2856,1410,12,1311,134,6172,23794,10.22928785,0.087028065,0.188073255
g1,1.02,0,0.945507801,13.34100534,1.04572848,91.97269782,0.832183667,16000000,34482,7.959327043,0.945858541,964,386,3,266,304,921,32603,7.706434583,0.027956615,0.026709588
g15,1.08,1,0.965523507,13.14632696,1.295004593,51.95437723,0.903395936,16000000,60534,15.37114954,0.914886183,2087,678,18,825,582,0,58447,13.59347293,0.034476493,0
g0,1,0,0.974435951,12.89069716,1.279472224,48.58782664,0.924735626,16000000,64622,15.8039323,0.933027812,1652,842,8,511,295,0,62970,13.92768477,0.025564049,0
g18,1.14,1,0.767792031,13.72965224,1.375435917,83.2943481,0.610851991,16000000,38121,15.83033486,0.789861232,3124,1416,13,1174,534,5735,29269,11.58461166,0.081949582,0.150442014
g3,1.06,0,0.967034744,13.11159023,1.118200408,50.80193549,0.910003331,16000000,61853,15.08424803,0.933590567,2038,930,4,694,410,0,59814,13.44639859,0.032949089,0
g6,1.12,0,0.754000295,13.90002144,1.495185312,93.81506885,0.6102102,16000000,33935,15.14826506,0.783207437,1975,1072,20,730,172,6382,25587,10.85665526,0.058199499,0.188065419
g20,1.18,1,0.701769773,14.25131656,1.52686912,99.81533645,0.478515695,16000000,31925,14.85218167,0.720044318,4001,1450,57,2031,514,5532,22404,10.9499623,0.12532498,0.173281128
g9,1.18,0,0.619251495,14.35795656,1.545273775,117.639502,0.418400118,16000000,27094,14.17746192,0.702750111,2014,830,16,973,211,8309,16778,9.569567157,0.074333801,0.306673064
g11,1,1,0.976960418,12.63192315,1.273593133,45.98329834,0.934099714,16000000,68187,14.87852597,0.959833333,1571,822,7,593,150,0,66616,14.26712526,0.023039582,0
g16,1.1,1,0.765181221,13.83424,1.584792192,84.18240304,0.6237195,16000000,37744,14.84752623,0.803596405,2502,1362,27,885,254,6364,28881,12.23188525,0.066288682,0.16860958
g17,1.12,1,0.477163145,14.41655399,1.852706464,139.8434234,0.277021138,16000000,22814,12.98860733,0.7083311,1429,614,8,548,267,10505,10886,9.912567477,0.062636977,0.460462874
g10,1.2,0,0.404199123,14.51186612,1.687895203,142.7269729,0.125197447,16000000,22338,12.80698932,0.644746246,2739,742,9,1748,248,10581,9029,10.0008285,0.12261617,0.473677142
g19,1.16,1,0.742033552,14.02030414,1.632670765,87.81132484,0.565860616,16000000,36183,15.70778098,0.772631603,3436,1682,18,1455,299,5907,26849,12.14342146,0.094961722,0.163253462
g14,1.06,1,0.972004802,12.93538542,1.161898661,50.27703215,0.920509116,16000000,62475,14.06887145,0.93246279,1749,734,7,662,350,0,60726,13.67519271,0.027995198,0
g5,1.1,0,0.958121888,13.0757123,1.214176351,49.66102734,0.893471241,16000000,63255,15.47145227,0.935198895,2649,1254,28,819,576,0,60606,13.8088336,0.041878112,0
g4,1.08,0,0.973729114,13.097395,1.300027208,50.59427525,0.922211941,16000000,62122,14.82443849,0.930131395,1631,610,4,586,432,0,60490,13.73189522,0.026254789,0
g7,1.14,0,0.574138158,14.15886642,1.117438494,139.5380601,0.371699357,16000000,22829,7.648492295,0.811005992,1115,462,3,407,244,8610,13107,7.367484977,0.048841386,0.377151868
g8,1.16,0,0.186900056,14.74683349,1.380338719,179.9797808,-0.080598409,16000000,17710,7.792058765,0.669682056,831,404,8,176,247,13574,3310,6.568814116,0.046922643,0.766459627
g2,1.04,0,0.972037136,13.01810329,1.273885601,49.58410363,0.920282429,16000000,63334,15.49794501,0.930019735,1771,732,8,662,370,0,61563,14.45893922,0.027962864,0
g13,1.04,1,0.969102923,12.89018852,1.184661013,49.05789538,0.915552417,16000000,64019,15.13848965,0.938109929,1978,892,9,651,435,0,62041,14.15921747,0.030897077,0
