run_id,environment_parameters._numAgents,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Max Steps,NearestCarDistAvg,Num Episodes,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,Park Velocity,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g12,5,0,0.996193792,0,0.82483437,19.22571425,0.978025557,0.000115517,34,294329,0.000320603,32,99812,0.000200947,34,169199,0.000481942,32,66398,2.42E-05,3,123971,5.93E-05,2,33713,14000000,12.28086887,138458,18815,159094,36,0.135889584,1.149041587,0.000260007,15.81973266,0.01051803,0.989481969,0.66981606,0.984133059,527,106,3,209,210,0,137931,14.81316839,0.003806208
g1,1,1,0.998799446,0,0.58639784,18.21201589,0.990080466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,12.77456849,145766,3830,139958,10,0.026274989,0.960155317,6.86E-05,15.90959481,0.002016566,0.997983435,0.693213433,0.992647103,175,0,0,62,112,0,145591,15.08617338,0.001200554
g15,6,0,0.996775943,0,0.843701806,19.52129873,0.977289703,8.46E-05,31,366426,0.000244655,31,126709,0.000154071,31,201206,0.000409999,31,75610,6.46E-05,11,170280,5.79E-05,3,51832,14000000,12.22761592,136474,22126,163434,32,0.162126119,1.197546785,0.000234477,15.97569431,0.014490847,0.985509154,0.646392795,0.982107538,440,44,0,349,44,0,136034,14.68181909,0.003224057
g0,1,0,0.998052527,0,0.576719835,18.07069084,0.988702255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000,12.67265024,146857,4082,141236,4,0.027795747,0.961724671,2.72E-05,15.90549582,2.37E-06,0.999997634,1,0.991378445,286,0,2,234,51,0,146571,15.10878332,0.001947473
g18,7,0,0.993667508,0,0.817367378,39.41554203,0.935012901,3.51E-05,17,483728,3.73E-05,7,187906,4.77E-05,12,251498,1.83E-05,2,109560,1.18E-05,3,254251,6.26E-05,5,79847,14000000,12.32031037,69325,22480,97955,1571,0.324269744,1.41298233,0.022661378,7.999592958,0.010974557,0.989025442,0.644547992,0.973828843,438,122,11,262,51,0,68886,7.792679951,0.006318067
g3,2,0,0.997117648,0,0.395588522,34.25725892,0.963183122,0.001117244,84,75185,0.003433336,84,24466,0.001620183,84,51846,0.004042932,84,20777,0,0,19650,0,0,3689,14000000,12.45442994,79449,5054,80916,108,0.063613135,1.018464675,0.001359363,7.999748625,0.000408231,0.99959177,0.735554739,0.994109906,229,40,1,170,16,0,79220,7.903305342,0.002882352
g6,3,0,0.996510285,0,0.412744997,34.55236158,0.960486817,0.000494863,75,151557,0.00143238,72,50266,0.000726172,71,97773,0.001794017,71,39576,6.26E-05,3,47917,9.30E-05,1,10747,14000000,12.29678476,78803,7043,83712,239,0.08937477,1.062294583,0.003032879,7.997114748,0.00105498,0.998945022,0.876558155,0.991543778,274,58,11,187,26,0,78528,7.9172912,0.003477025
g20,7,2,0.995198546,0,0.891692579,19.53165168,0.972922287,5.93E-05,26,438111,0.000143666,26,180975,0.000105833,26,245670,0.000229562,26,113259,2.34E-05,5,213365,8.67E-05,6,69227,14000000,12.04066777,136417,25016,171335,32,0.183378904,1.255965166,0.000234575,15.88201974,0.023966488,0.976033511,0.685109123,0.988819956,655,78,11,502,72,0,135762,14.8467638,0.004801454
g9,4,0,0.997532889,0,0.762462592,18.7991163,0.98290184,1.76E-05,4,227632,5.17E-05,4,77311,2.85E-05,4,140485,7.13E-05,4,56077,0,0,82369,0,0,21437,14000000,12.34094932,141461,15533,156357,7,0.109804116,1.105301108,4.95E-05,15.90765442,0.00214957,0.99785043,0.911236404,0.988102689,349,86,8,213,47,0,141112,14.88581613,0.002467111
g11,4,2,0.99785423,0,0.769171052,18.96441666,0.982930993,0.000266403,60,225223,0.000770614,60,77860,0.000431526,59,136724,0.001047418,59,56329,0.000132425,11,83066,4.59E-05,1,21769,14000000,12.38202188,140276,15711,155395,223,0.112000627,1.107780376,0.001589723,15.92969826,0.006759607,0.993240393,0.656550316,0.986274109,299,26,3,225,46,0,139975,14.84533985,0.002131512
g16,6,1,0.996621303,0,0.863625944,19.34888621,0.977263198,0,0,375265,0,0,146793,0,0,215737,0,0,96555,0,0,168006,0,0,51183,14000000,12.15137793,137627,22236,166142,0,0.161567134,1.20719045,0,15.80646869,0.01742464,0.982575359,0.64496424,0.985832531,464,82,4,348,31,0,137162,14.8091112,0.003371431
g17,6,2,0.996743209,6.00E-05,0.689015996,41.04173343,0.937612718,0.000120444,49,406829,9.57E-05,15,156671,0.000219083,49,223660,0.000140105,14,99925,3.63E-05,7,192825,1.73E-05,1,57911,14000000,12.4433236,66630,24639,95351,317,0.369788384,1.431052079,0.004757617,7.998922133,0.014600685,0.985401204,0.490635513,0.966006812,212,84,6,91,35,4,66413,7.814240515,0.00318175
g10,4,1,0.99621826,0.00011681,0.725673325,39.90924503,0.942102584,0,0,236213,0,0,77509,0,0,138417,0,0,53186,0,0,90333,0,0,24557,14000000,12.82485634,68487,18613,87854,1202,0.271774205,1.282783594,0.017550776,7.997614609,0.011488213,0.98851622,0.422000397,0.971583704,250,106,5,127,15,8,68228,7.944294726,0.003650328
g19,7,1,0.996683998,0,0.867858649,19.68358681,0.976326606,0,0,452824,0,0,184613,0,0,254010,0,0,115932,0,0,221576,0,0,70448,14000000,11.99883841,135404,24307,169784,0,0.179514638,1.253906827,0,15.52422119,0.016116299,0.983883699,0.684224445,0.984315368,447,42,0,346,56,0,134955,14.61931547,0.003301232
g14,5,2,0.996759253,0,0.805566672,19.07933375,0.980119262,4.42E-05,13,293811,0.00012255,13,106079,7.59E-05,13,171348,0.000173352,13,74992,8.19E-06,1,122054,0,0,31477,14000000,12.16481414,139474,17659,159559,12,0.126611411,1.144005334,8.60E-05,15.64971498,0.007429176,0.992570823,0.803510887,0.989941598,452,64,5,328,57,0,139022,14.77195862,0.003240747
g5,2,2,0.997804875,0,0.40234803,34.5382106,0.96416645,0,0,70811,0,0,20632,0,0,48284,0,0,17020,0,0,18915,0,0,3612,14000000,12.48018047,78811,5364,80207,60,0.068061565,1.017713263,0.000761315,7.997817425,0.000253577,0.999746422,0.900333158,0.993509398,172,12,0,94,63,0,78638,7.909028669,0.002182436
