run_id,environment_parameters._obsNearbyCarsCount,environment_parameters._obsNearbyParkingSpotsCount,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Max Steps,NearestCarDistAvg,Num Change Goal,Num Episodes,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumChangeGoal PerEps,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,Park Velocity,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g26,3,1,3,0.99413249,0,1.085688103,20.36628917,0.968933483,1.17E-05,6,513450,1.95E-05,4,204978,1.35E-05,6,444008,1.59E-05,3,188491,1.86E-05,2,107468,0.000118092,2,16936,16000000,12.17304721,0,149808,30133,189323,6,0,0.201144131,1.26377096,4.01E-05,15.55679113,0.01967081,0.98032919,0.702414264,0.976337445,879,172,7,585,119,0,148929,14.45498457,0.00586751
g12,2,1,1,0.995616781,0,1.063035233,20.09851333,0.972662911,1.02E-05,5,489244,1.04E-05,2,192072,5.40E-06,2,370472,6.43E-06,1,155612,1.91E-05,3,156696,2.67E-05,1,37450,16000000,12.18279449,0,151715,26990,188236,11,0,0.177899351,1.240721089,7.25E-05,15.89853511,0.034477845,0.965522156,0.62328032,0.98651264,662,58,2,519,84,0,151050,14.52503,0.004363445
g21,2,4,1,0.991363666,0,0.900832678,41.41213041,0.917443678,0.029159855,17622,604324,0.046824954,12324,263193,0.02564248,11755,458419,0.034028201,7486,219994,0.031697527,5954,187838,0.112757775,5014,44467,16000000,12.24020667,25289,75495,59,89302,16073,0.334975826,0.000781509,1.182886284,0.212901517,7.996763446,0.010955882,0.989044482,0.766866355,0.955443853,651,124,3,435,87,0,74843,7.665630153,0.008623088
g38,4,1,3,0.991839561,6.79E-05,0.970220782,42.47353947,0.924678237,8.13E-05,46,566130,2.06E-05,5,243282,8.77E-05,46,524581,2.11E-05,5,236556,0,0,71322,0,0,7040,16000000,12.36635987,0,73648,23156,108818,4690,0,0.314414512,1.477541821,0.063681295,7.997544864,0.024300312,0.975701209,0.578801369,0.97146981,595,228,6,315,49,5,73047,7.790126804,0.00807897
g1,1,1,2,0.996712464,0,0.821899608,19.27387279,0.977140012,0.000148987,75,503398,0.000247498,51,206062,0.00012847,37,288004,0.000164292,22,133908,0.000173247,42,242429,0.000419588,31,73882,16000000,11.93909791,0,157869,26097,195808,94,0,0.165307945,1.240319505,0.00059543,15.93352227,0.019633737,0.980366261,0.807695575,0.989667612,519,130,3,337,49,0,157350,14.84089425,0.003287536
g15,2,2,1,0.992839865,0,1.312609422,21.12270407,0.971649485,0.00154015,866,562283,0.001955981,499,255115,0.001162374,490,421551,0.001348691,274,203160,0.001163081,205,176256,0.004258405,229,53776,16000000,12.31731817,4386,144690,7044,158934,53,0.030313083,0.048683392,1.098444951,0.0003663,15.60272468,0.022735412,0.977264587,0.802977668,0.975538399,1036,144,5,606,283,0,143654,14.25309385,0.007160135
g0,1,1,1,0.997045933,0,0.919484508,19.60024112,0.977515372,2.51E-05,13,518203,6.19E-05,13,210119,4.48E-05,13,290372,0.000100482,13,129376,3.94E-06,1,253577,0,0,82654,16000000,12.00812274,0,155379,26378,193660,13,0,0.169765541,1.246371775,8.37E-05,15.88083816,0.01603109,0.983968909,0.80033067,0.985700198,458,76,8,340,39,0,154920,14.60199687,0.002947631
g18,2,3,1,0.992890209,0,1.207869845,21.11392319,0.967897148,0.019407683,10890,561118,0.034047576,8884,260929,0.015118504,6377,421801,0.022364263,4685,209486,0.019870383,3391,170656,0.081176227,4312,53119,16000000,12.25666713,3674,144730,1032,165663,19209,0.0253852,0.007130519,1.144634837,0.132723001,15.4799531,0.018804699,0.981195298,0.832588375,0.97105836,1029,106,1,800,121,0,143701,14.3778496,0.007109791
g32,3,3,3,0.990125412,0,1.360519499,22.2569157,0.957720706,0.010665956,6404,600415,0.015067982,4280,284046,0.00696389,3534,507475,0.009737091,2434,249972,0.013750709,1794,130466,0.053147836,1891,35580,16000000,12.4309671,25871,137626,5882,145951,98,0.187980469,0.042739017,1.060490024,0.000712075,15.83791365,0.003975017,0.996024982,0.914986981,0.94068961,1359,214,4,719,424,0,136267,13.96188774,0.009874588
g3,1,2,1,0.99583317,5.22E-05,0.787986804,40.81863369,0.943197138,0.003225731,1934,599554,0.003580488,1036,289346,0.001396402,459,328702,0.000580053,103,177570,0.002787279,779,279484,0.008142785,938,115194,16000000,12.28641776,2482,76557,8821,97304,6055,0.032420288,0.115221338,1.271000692,0.079091396,7.998258176,0.013280074,0.986721913,0.771336925,0.964317038,314,68,3,209,34,4,76238,7.773073877,0.004101519
