run_id,environment_parameters.rewDeltaGoalDiffGoal,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Max Steps,NearestCarDistAvg,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c,h,p,Num Episodes
g13,-0.001,96522,144957,34270,5.997763003,9.007456658,2.129497297,0.015297031,0.989781728,0.038138033,0.927452796,0.301181801,197.9268414,-0.096121081,1.99E-03,850,427403,1.91E-03,232,121462,9.17E-04,191,208233,4.23E-03,130,30704,0.003223176,664,206008,0.001119501,102,91112,16000000,12.89856604,180,98,3,78,1,15912,0,5.525565782,0.011184987,0.988752874,0,16093
g7,-0.04,21296,111726,2301,0.260348664,1.365876916,0.028130272,0.005225273,0.994774977,0.803820049,0.984786407,0.688801207,38.15075965,0.948019987,6.31E-05,35,554775,0.000152454,35,229577,0.000106926,34,317976,0.000221291,34,153644,7.40E-06,2,270198,1.29E-05,1,77696,16000000,12.12511175,331,138,17,144,48,0,81466,7.836659565,0.004046554,0,0.995941221,81798
g9,-0.015,19136,112059,660,0.221874384,1.299279975,0.00765244,0.002008557,0.997991444,0.959271825,0.988374054,0.524671775,36.12200279,0.959117031,0.000411858,230,558445,0.00075811,171,225561,0.000387934,123,317064,0.000861399,122,141630,0.000224683,61,271494,0.00058292,50,85775,16000000,11.89039682,336,106,15,209,16,0,85911,7.884483465,0.003895788,0,0.996104212,86247
g5,-0.08,16532,108449,135,0.194019341,1.272756079,1.58E-03,0.008749586,0.991250415,0.760561945,0.98769531,0.627661669,36.5698344,0.947116803,1.31E-04,72,548749,2.96E-04,67,226246,1.84E-04,56,304534,3.45E-04,49,142164,3.70E-05,10,270271,0.00020937,18,85972,16000000,11.98577178,239,48,0,144,45,0,84969,7.794495779,0.002804901,0,0.997195099,85208
g4,-0.1,18529,178195,111,0.120675507,1.160546814,0.00072292,0.069540183,0.930459816,0.780435273,0.99111741,0.923199925,19.84494317,0.969043332,2.25E-04,89,395378,0.000611305,83,135775,3.32E-04,73,219669,0.000889668,69,77557,9.86E-05,19,192706,3.73E-04,22,58958,16000000,12.10697641,526,60,6,421,42,0,153015,14.65438738,0.003425728,0,0.996554733,153544
g1,-0.25,8418,155515,60,0.055271763,1.021096243,0.000393954,0.157374994,0.842625008,0.812884723,0.993192122,0.952102242,20.01593876,0.959126008,1.65E-04,37,224839,0.000593607,34,57277,2.60E-04,34,130735,0.001094709,33,30145,8.66E-05,9,103909,1.10E-04,3,27309,16000000,12.16093237,648,216,9,380,51,0,151654,14.78873689,0.004254704,0,0.995745296,152302
g0,-0.3,7460,151395,42,0.049780127,1.010249635,0.000280263,0.175153738,0.824846264,0.841056987,0.994775134,1.082073241,20.3598244,0.955021933,6.81E-05,14,205626,2.79E-04,14,50218,1.07E-04,12,112237,0.000489197,12,24530,4.98E-05,5,100400,7.75E-05,2,25796,16000000,12.19535571,750,326,7,398,25,0,149109,14.61679561,0.005004704,0,0.994995296,149859
g14,-0.0005,73255,290513,75078,0.549335593,2.178542504,0.563006179,0.02624668,0.973756231,0.540482135,0.939407959,1.10325958,23.00516692,0.980596928,0.040196014,20277,504453,0.06246083,10963,175518,0.047773603,11849,248024,0.090678638,8120,89547,0.036036328,10007,277692,0.03433131,2986,86976,16000000,12.42711105,464,96,2,322,45,8,132876,14.7171059,0.003479513,6.00E-05,0.9964305,133352
g6,-0.06,25460,191565,11,0.163288866,1.228610826,7.05E-05,0.031883596,0.968116404,0.689298189,0.990364624,0.836288741,19.52915874,0.974056491,1.66E-05,8,482496,1.03E-05,2,195025,1.84E-05,5,272433,0.00E+00,0,122758,4.24E-06,1,236091,2.71E-05,2,73796,16000000,12.04857165,572,186,7,307,77,0,155348,14.7379013,0.003668548,0,0.996331452,155920
g3,-0.15,11901,168343,7,0.077108481,1.090721195,4.54E-05,0.127265412,0.87273459,0.837046663,0.993795847,0.951712314,19.73865817,0.964719329,2.48E-05,7,282796,6.21E-05,6,96597,3.61E-05,6,166171,8.43E-05,5,59322,1.59E-05,2,125641,5.30E-05,2,37718,16000000,12.06155015,593,146,6,431,13,0,153748,14.76353609,0.003842142,0,0.996157858,154341
