run_id,GLOBAL_INFO,environment_parameters._punishBetterOtherGoalAgent,environment_parameters.rewDeltaGoalContinueGoalBetterOtherAgent,environment_parameters._punishBetterOtherAgentLocal,GaveWayGlobalAnyGoal,GaveWayGlobalAnyGoal_PositiveCount,GaveWayGlobalAnyGoal_TotalCount,GaveWayGlobalSameGoal,GaveWayGlobalSameGoal_PositiveCount,GaveWayGlobalSameGoal_TotalCount,GaveWayLocalAnyGoal,GaveWayLocalAnyGoal_PositiveCount,GaveWayLocalAnyGoal_TotalCount,GaveWayLocalSameGoal,GaveWayLocalSameGoal_PositiveCount,GaveWayLocalSameGoal_TotalCount,GaveWayNonLocalAnyGoal,GaveWayNonLocalAnyGoal_PositiveCount,GaveWayNonLocalAnyGoal_TotalCount,GaveWayNonLocalSameGoal,GaveWayNonLocalSameGoal_PositiveCount,GaveWayNonLocalSameGoal_TotalCount,Num Lost Goal,Num Stop Explore,Num Stop Goal,NumLostGoal PerEps,NumStopExplore PerEps,NumStopGoal PerEps,RatioExplorePerEps,RatioGoalPerEps,RatioMoveTowardsExploringPerEps,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c,Max Steps,NearestCarDistAvg,Num Episodes,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,h,p
g0,0,0,-0.15,0,0.101706139,8447,83053,0.414940577,6110,14725,0.798012452,6665,8352,0.983121267,3786,3851,0.03379187,2287,67679,0.214226634,2331,10881,12013,162838,9877,0.077974089,1.056950358,0.064109721,0.168908096,0.831091907,0.823373613,0.995858109,547,92,6,307,146,0,153517,14.97272676,0.003550473,16000000,12.06843121,154064,0.853134549,19.77624951,0.964434719,0,0.996449527
g1,0,1,0,0,1.77E-06,1,564930,4.19E-06,1,238841,3.03E-06,1,329933,6.31E-06,1,158505,0,0,265065,0,0,82465,16795,109243,88,0.195983476,1.274773618,0.001026886,0.004065157,0.995934846,0.777841034,0.987066244,523,178,12,320,24,0,85173,7.84066409,0.006102969,16000000,11.85686447,85696,0.754665886,36.35544189,0.94570141,0,0.993897031
g2,0,1,-0.2,0,0.023003208,9909,430766,0.108815026,9710,89234,0.051385594,9811,190929,0.927759584,9632,10382,0.012854116,3070,238834,0.002682729,212,79024,24340,112010,12637,0.329671818,1.517113408,0.171161165,0.052050293,0.947953816,0.567840106,0.974994542,282,146,1,101,33,10,73538,7.885225164,0.003819534,16000000,12.35469343,73831,0.920157458,42.35842975,0.919764246,0.000135444,0.996031477
g3,0,0,0,0,1.75E-05,10,570115,8.33E-06,2,240229,3.08E-05,10,324506,1.30E-05,2,154354,0,0,277650,0,0,87915,31142,114328,1305,0.416442679,1.528837539,0.017450957,0.014945899,0.985055684,0.578298657,0.964426286,245,106,0,112,24,5,74529,7.809229702,0.003276233,16000000,12.26649051,74781,0.807858775,41.81343237,0.931917039,6.69E-05,0.99663016
g4,0,1,-0.025,0,0.029228734,9389,321225,0.162824696,9133,56091,0.064159796,9299,144935,0.879729076,9092,10335,0.015479461,2772,179076,0.002333748,107,45849,21076,183579,9921,0.135479475,1.180071481,0.063773575,0.061512871,0.938487132,0.810072204,0.992230409,527,62,4,379,82,0,155039,14.8288447,0.00338763,16000000,11.98160334,155566,0.950537538,19.57447672,0.970101832,0,0.99661237
g5,0,0,-0.075,0,0.060644592,5771,95161,0.432270439,3606,8342,0.409220314,4456,10889,0.995029372,2202,2213,0.019165337,1549,80823,0.229200653,1405,6130,15838,90820,9042,0.218636113,1.253727223,0.124820541,0.18974691,0.810256601,0.753813785,0.983857862,152,66,1,77,6,10,72277,7.858126475,0.002098288,16000000,12.46499137,72440,0.868601215,43.19334725,0.903888961,0.000138045,0.997749862
g6,0,1,-0.1,0,0.031199105,10038,321740,0.184245843,9473,51415,0.063916004,9874,154484,0.951152635,9366,9847,0.01604469,2786,173640,0.004224676,176,41660,20196,183142,11023,0.129759319,1.176687527,0.070822786,0.062125432,0.937874568,0.804252153,0.987534045,561,104,5,412,42,0,155081,14.74286199,0.003604426,16000000,11.99367022,155642,0.915607403,19.56480654,0.969030049,0,0.996395574
g7,0,1,-0.125,0,0.031379978,10585,337317,0.171564959,10315,60123,0.065309266,10431,159717,0.920855518,10204,11081,0.016529709,2963,179253,0.003886696,191,49142,22905,185414,10982,0.148702867,1.203736886,0.071296873,0.052306988,0.947693011,0.780993317,0.987847235,713,88,11,462,160,0,153319,14.71692733,0.004628908,16000000,12.00431207,154032,0.908930024,19.77966568,0.967181284,0,0.995371092
g8,0,0,-0.125,0,0.067095778,6171,91973,0.319158527,4248,13310,0.492654928,5064,10279,0.961538462,2900,3016,0.019169115,1429,74547,0.131624927,1356,10302,6024,89963,7021,0.071913761,1.073967075,0.083815822,0.163626794,0.836373206,0.897253139,0.996445127,206,14,1,169,20,0,83560,7.865730996,0.002459202,16000000,12.10381062,83767,0.657380766,37.22033265,0.924367517,0,0.99752886
g9,0,0,-0.2,0,0.073454191,6175,84066,0.379004487,3632,9583,0.613949518,5035,8201,0.963468487,2400,2491,0.020630596,1484,71932,0.173949817,1234,7094,14728,89968,9580,0.20456692,1.249624979,0.133062948,0.202122945,0.797880128,0.74296626,0.986790016,175,70,0,81,19,8,71812,7.816770497,0.002430691,16000000,12.5569876,71996,0.89473829,43.47030028,0.898854618,0.000111117,0.997444302
