run_id,behaviors.CarBehaviour.reward_signals.extrinsic.gamma,p,c,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg
g1,0.925,0.964733692,0.035266308,0,0.800134661,39.71202724,0.888763915,16000000,12.12614606,78687,0.980638583,2775,1608,11,961,206,0,75912,15.23685317
g0,0.92,0.967584903,0.032415097,0,0.835372148,39.93017067,0.893039022,16000000,12.02709871,78266,0.976931056,2537,1360,13,932,240,0,75729,15.16438356
g3,0.94,0.967923617,0.032076383,0,0.827234322,39.73325312,0.898852062,16000000,12.10876174,78656,0.980320065,2523,1562,14,724,227,0,76133,15.33722486
g6,0.99,0.972096918,0.027903082,0,1.10204209,42.27029926,0.907756376,16000000,12.36545321,74042,0.969444948,2066,1144,9,696,225,0,71976,15.12028653
g9,0.9975,0.971170177,0.028829823,0,1.088054267,45.49581248,0.908132062,16000000,12.60533318,68887,0.958220445,1986,1096,9,482,408,0,66901,14.54781501
g5,0.975,0.966174778,0.033825222,0,1.001597359,39.50691035,0.899428721,16000000,12.09526937,79083,0.982617903,2675,1862,12,658,155,0,76408,15.41356555
g4,0.95,0.966673007,0.033326993,0,0.874118284,39.62709786,0.897010012,16000000,12.10787696,78855,0.980566452,2628,1520,13,839,269,0,76227,15.28477007
g7,0.9925,0.968059001,0.031940999,0,1.056783207,41.72149865,0.905855674,16000000,12.32465587,74982,0.97816554,2395,1438,14,685,272,0,72587,15.04664858
g8,0.995,0.972250021,0.027749979,0,1.18891032,44.80949219,0.890983539,16000000,12.54428744,69946,0.958738195,1941,1012,13,671,258,0,68005,14.8541955
g2,0.93,0.955877108,0.044122892,0,0.875269714,39.80412569,0.871576093,16000000,11.98558736,78508,0.975722847,3464,2294,16,994,169,0,75044,15.20628158
g1,0.997,0.961669409,0.038330591,0,1.159821939,44.44735881,0.890959176,16000000,12.53277987,70492,0.963350267,2702,1792,20,687,222,0,67790,14.47288152
g0,0.996,0.974371693,0.025628307,0,1.176750908,43.14182544,0.913747618,16000000,12.55110395,72576,0.972203983,1860,1174,11,473,212,0,70716,15.00539034
g3,0.999,0.977653027,0.022346973,0,1.185377208,48.54606382,0.913387018,16000000,12.72448395,64662,0.943444611,1445,678,3,492,272,0,63217,14.05347085
g6,0.9996,0.97689604,0.02310396,0,1.240152781,47.5282765,0.917867188,16000000,12.70019333,66006,0.952890032,1525,866,6,467,187,0,64481,14.43074044
g5,0.9994,0.974865158,0.025134842,0,1.16599521,47.95380984,0.910636721,16000000,12.88800511,65447,0.951860144,1645,768,7,582,293,0,63802,14.18888693
g4,0.9992,0.973627485,0.025946723,0.00039918,0.949367921,84.31945295,0.860176486,16000000,12.95560207,37577,0.974952774,975,540,6,233,199,15,36586,7.788085966
g7,0.9998,0.97957139,0.020394647,1.70E-05,1.173420496,53.4051872,0.916212035,16000000,13.0537578,58888,0.932585715,1201,652,3,373,175,1,57685,13.42252928
g2,0.998,0.975096311,0.024903689,0,1.201378963,45.21469001,0.920122243,16000000,12.67790774,69307,0.968144391,1726,920,9,450,354,0,67581,14.3961228
