run_id,environment_parameters._numAgents,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g12,5,0,0.985294344,0,0.992273015,42.06282247,0.953970037,14000000,13.50735067,65077,15.37228414,0.967128498,957,344,4,462,148,0,64120,14.74188313,0.014705656
g1,1,1,0,0.997218061,0.169756338,198.7186476,-0.085199823,14000000,20.68723562,14019,4,0.899002659,39,0,0,20,18,13980,0,5.234848549,0.002781939
g15,6,0,0.985626979,0,1.195456566,46.45462316,0.94987235,14000000,13.27360445,59069,15.71396053,0.946136382,849,338,1,331,179,0,58220,14.40281987,0.014373021
g0,1,0,0,0.998429693,0.199667889,198.8616829,-0.083204141,14000000,22.16766857,14010,16,0.904984598,23,0,0,8,14,13988,0,5.196949351,0.001641685
g18,7,0,0.972591194,0,1.155032216,46.24376532,0.92531617,14000000,12.72596713,59324,15.29623186,0.954779848,1626,844,5,529,252,0,57698,13.93812296,0.027408806
g3,2,0,0.995141426,0,0.865714961,36.92551946,0.97716366,14000000,15.6139177,73890,15.88897816,0.982835013,355,92,0,184,79,0,73531,15.37104332,0.004804439
g6,3,0,0.991425176,0,0.908548264,38.64592543,0.968614649,14000000,14.52652283,70672,15.3403231,0.980836144,606,186,0,257,161,0,70066,15.1652748,0.008574825
g20,7,2,0.974359425,0,1.258507572,48.21650393,0.92696986,14000000,12.77899086,56941,15.54371733,0.943144049,1460,676,10,542,242,0,55481,14.30019829,0.025640575
g9,4,0,0.989342215,0,1.102355165,41.42399241,0.962025395,14000000,14.02512701,66055,15.11960446,0.970903647,704,228,1,293,183,0,65351,14.76668774,0.010657785
g11,4,2,0.984098648,0,1.014903756,41.03959363,0.952099194,14000000,13.95499669,66661,15.79422449,0.967456271,1060,522,4,349,187,0,65601,14.98505676,0.015901352
g16,6,1,0.985287895,0,1.166272478,44.6252551,0.951144616,14000000,13.14447515,61446,15.77979307,0.953957241,904,348,4,345,211,0,60542,14.81387012,0.014712105
g17,6,2,0.981508032,0,0.965763035,44.67363554,0.944339409,14000000,13.2453114,61378,15.06700289,0.954913505,1129,586,5,365,178,0,60243,14.33836338,0.018394213
g10,4,1,0.987314267,0,1.081359389,41.88607305,0.95736404,14000000,14.09112017,65349,15.31719014,0.96281649,829,272,4,318,235,0,64520,14.74381689,0.012685734
g19,7,1,0.974974337,0,1.086376016,48.62534507,0.928917102,14000000,12.99097504,56502,15.40731804,0.947676584,1414,644,4,490,276,0,55088,14.20413176,0.025025663
g14,5,2,0.98716733,0,0.929944679,41.8673234,0.957899269,14000000,13.7055817,65380,15.47787079,0.966514994,839,366,1,356,116,0,64541,14.85941342,0.012832671
g5,2,2,0.99249531,0,0.683200069,35.77293137,0.973023353,14000000,15.31218704,76219,15.78656165,0.987338849,572,218,2,207,145,0,75647,15.47278812,0.00750469
g4,2,1,0.992762479,0,0.758247966,37.05435071,0.972316471,14000000,15.41441808,73644,15.00758865,0.975487951,533,150,2,244,136,0,73111,15.08811957,0.007237521
g7,3,1,0.991598123,0,1.034761213,40.24505083,0.967737609,14000000,14.73313076,67961,15.08058402,0.973283401,571,186,2,263,119,0,67390,14.94468328,0.008401878
g8,3,2,0.989536818,0,1.115102153,39.90130393,0.963302435,14000000,14.78863627,68526,15.70611073,0.971349021,717,244,3,306,164,0,67809,14.94645669,0.010463182
g2,1,2,0.92786794,0.058981731,1.30243655,51.1108989,0.883816324,14000000,17.99591551,53915,15.2073888,0.92988205,711,0,0,152,558,3180,50026,14.41785116,0.013187425
g13,5,1,0.986391937,0,1.00227812,42.18680624,0.956550957,14000000,13.65049602,64888,15.45931535,0.973650909,883,370,5,294,217,0,64005,14.83901607,0.013608063
