run_id,environment_parameters._numParkedCars,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g1,35,1,0,0.988713693,0.221084912,198.1869699,-0.092341566,6000000,20.2643857,6025,0,0.905533401,68,0,67,0,5957,0,5.183247641,0.011286307
g2,3,1,0.986175261,0.005378045,0.815483754,36.99988099,0.962555632,6000000,27.34928973,31610,15.12006567,0.965521936,268,0,81,185,170,31173,14.99454311,0.00847833
g3,0,1,0.998138922,0,0.460906477,33.37660826,0.985947126,6000000,0,34926,15.3353099,0.990575882,64,0,0,64,0,34861,15.56522065,0.001832446
g4,9,1,0.919935985,0.062734339,1.160130107,54.07781626,0.868347941,6000000,19.9088579,21870,14.44393606,0.917872595,382,0,149,233,1372,20119,13.82914926,0.01746685
g5,18,1,0.995311495,0,0.817836378,35.79713163,0.978057209,6000000,17.02584801,32633,15.93795866,0.975790531,153,1,109,42,0,32480,15.37324925,0.004688506
g6,27,1,0,0.998167583,0.204486413,198.8891069,-0.080386751,6000000,21.16900597,6003,0,0.914669119,10,0,0,10,5992,0,5.062140607,0.001665834
g7,33,1,0,0.99850075,0.201303916,198.9019638,-0.081174809,6000000,20.37371948,6003,8,0.910832333,8,0,8,0,5994,0,5.107539957,0.001332667
g8,30,1,0,0.996504079,0.21905126,198.7889095,-0.085046235,6000000,20.80600371,6007,4,0.905049965,20,0,17,2,5986,0,5.146700883,0.003329449
g9,15,1,0.997636369,0,0.74123575,35.857853,0.982699866,6000000,17.4054471,32577,15.94166708,0.976499749,76,0,43,32,0,32500,15.40586309,0.002332934
g10,12,1,0.994941658,0,0.643924152,36.26262583,0.97716835,6000000,18.30294344,32224,14.94871443,0.97444376,163,0,76,87,0,32061,15.17698764,0.005058342
g11,21,1,0.000165975,0.992033195,0.274995628,198.1765864,-0.101945325,6000000,20.40014533,6025,16,0.863336702,44,0,15,28,5977,1,5.663268708,0.007302905
g12,24,1,0,0.999166944,0.270722193,198.9416725,-0.087094219,6000000,21.33777762,6002,0,0.892725805,4,0,0,4,5997,0,5.330306014,0.000666445
g13,6,1,0.975318137,0.017305272,0.944690968,41.01280777,0.948730755,6000000,21.30474433,28604,14.98348115,0.949248671,212,0,116,95,495,27898,14.54408207,0.007411551
g14,35,2,0,0.998333889,0.199340431,198.9275837,-0.078040357,6000000,20.76765309,6002,0,0.921857539,9,0,9,0,5992,0,4.918829362,0.0014995
g15,3,2,0.985722257,0.001969344,0.80574886,38.44431122,0.957126352,6000000,27.63079276,30467,14.65987723,0.95720022,374,0,74,300,60,30032,14.91002795,0.012275577
g16,0,2,0.999331514,0,0.304788303,32.45523131,0.989107355,6000000,0,35902,15.91184103,0.992845302,23,0,0,23,0,35878,15.66107934,0.000640633
g17,9,2,0.996025968,0,0.708899736,35.42498174,0.979578694,6000000,19.17808054,32964,15.71346425,0.972333782,129,0,45,84,0,32833,15.36893526,0.00391336
g18,18,2,0,0.995675316,0.380555169,198.5887262,-0.104927305,6000000,21.3340735,6012,4,0.850851687,27,0,5,21,5986,0,6.646914518,0.004491018
g19,27,2,0,1,0.22126281,199,-0.089383462,6000000,20.73029152,6000,0,0.879602142,0,0,0,0,6000,0,5.458026437,0
g20,33,2,0,0.996504661,0.236313173,198.7321149,-0.083668163,6000000,20.70390965,6008,8,0.910658374,20,0,19,0,5987,0,5.087555483,0.003328895
g21,30,2,0,0.997001499,0.285068882,198.8927015,-0.090596812,6000000,21.39265541,6003,8,0.889496754,18,0,18,0,5985,0,5.37917627,0.002998501
