run_id,environment_parameters._numParkedCars,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g0,3,1,0.982442082,0,1.18156057,44.82763935,0.945497048,16000000,14.95066534,69883,15.45571217,0.95825371,1227,724,6,274,228,0,68656,14.43990705,0.017557918
g1,0,1,0.975254094,0,1.387897036,45.71625588,0.929391015,16000000,16.1741113,68577,15.5076964,0.954724119,1697,1316,2,0,381,0,66880,14.19929631,0.024745906
g2,9,1,0.981621685,0,1.099542346,45.90380516,0.942641466,16000000,13.5980535,68287,15.50597079,0.949215983,1255,598,4,367,290,0,67032,14.28687716,0.018378315
g3,18,1,0.935049165,0.039450302,1.062094704,93.96293823,0.822147205,16000000,13.2304439,33764,7.994534818,0.94443317,863,390,3,208,261,1332,31571,7.734601811,0.025559768
g4,27,1,0.97077413,0,1.192108516,50.79329835,0.917792252,16000000,12.48439476,61863,15.05924263,0.938780644,1808,820,1,465,519,0,60055,13.86317637,0.02922587
g5,29,1,0.976180908,0,1.019744135,48.53397577,0.930998589,16000000,12.28794701,64696,15.9374003,0.948917049,1541,852,6,603,86,0,63155,14.02256149,0.023819092
g6,15,1,0.979005425,0,1.154732263,47.14806738,0.936474643,16000000,12.93173441,66541,15.56817264,0.944030318,1397,718,9,415,259,0,65144,13.94195156,0.020994575
g7,12,1,0.983068126,0,1.080138914,46.32177859,0.945751346,16000000,13.1709148,67683,15.45407092,0.951111956,1146,442,0,348,349,0,66537,14.32396668,0.016931874
g8,21,1,0.978314831,0,1.04983046,47.78648796,0.93585177,16000000,12.45938282,65667,14.58525609,0.95109795,1424,700,5,582,139,0,64243,13.87738382,0.021685169
g9,24,1,0.980332851,0,1.008225371,46.25911776,0.940568451,16000000,12.24321977,67778,15.5518889,0.948293701,1333,774,8,480,78,0,66445,14.01613136,0.019667149
g10,6,1,0.935063407,0.043192986,1.19087365,93.34396899,0.824879476,16000000,14.67134886,33987,7.974708541,0.942606857,741,296,0,144,300,1468,31780,7.715365731,0.021802454
g11,3,2,0.982773908,0.00040532,0.868429979,80.21794138,0.896333735,16000000,15.20853053,39475,7.992101246,0.977590426,663,280,0,127,256,16,38795,7.86225195,0.01679544
g12,0,2,0.98577518,0,0.833115925,77.05281205,0.906222533,16000000,16.23635161,41055,7.85341306,0.986102363,582,350,0,0,230,0,40471,7.867637692,0.014176105
g13,9,2,0.979153123,0,1.182057303,46.33443711,0.938111656,16000000,13.44363443,67684,14.59597112,0.953785062,1411,606,6,479,326,0,66273,14.13505629,0.020846877
g14,18,2,0.97830894,0,1.173067007,47.19051278,0.936358943,16000000,12.64832644,66479,14.22546457,0.957286937,1442,654,6,476,311,0,65037,14.16318455,0.02169106
g15,27,2,0.980412417,0,1.18555679,46.28356362,0.941224132,16000000,12.27581124,67747,15.39650119,0.958263154,1327,674,6,573,79,0,66420,14.71890453,0.019587583
g16,29,2,0,0.955216625,0.611268688,193.6474792,-0.158771653,16000000,13.44740054,16457,4,0.793724474,737,606,3,123,6,15720,0,6.286796066,0.044783375
g17,15,2,0.974937992,0,1.366899963,47.74774276,0.927494824,16000000,12.83615086,65717,15.39212472,0.945022006,1647,772,3,594,277,0,64070,14.15354337,0.025062008
g18,12,2,0.975474566,0,1.061643469,46.72561049,0.930234101,16000000,13.18592187,67114,15.28695027,0.946954063,1646,896,6,472,278,0,65468,14.14420625,0.024525434
g19,21,2,0.978482076,0,1.147410828,48.84989284,0.935528413,16000000,12.64953691,64272,15.42526623,0.954734773,1383,456,3,690,236,0,62889,14.08196796,0.021517924
g20,24,2,0.976967879,0,1.038824289,46.12978279,0.935007553,16000000,12.32391428,67992,15.04582863,0.95665317,1566,748,14,723,88,0,66426,14.59149981,0.023032121
g21,6,2,0.950050681,0.03254871,1.151583383,89.30185985,0.850350316,16000000,14.76148947,35516,7.893484652,0.958856577,618,204,1,125,286,1156,33742,7.800499098,0.017400608
g22,3,3,0.98412248,0,1.259762256,44.44415782,0.948545858,16000000,15.04088847,70477,15.11161332,0.954967635,1119,620,3,196,301,0,69358,14.46910908,0.01587752
g23,0,3,0.98369434,0,1.146845836,44.49238037,0.948375695,16000000,16.21689782,70405,15.26777261,0.963107365,1148,754,4,0,393,0,69257,14.10183326,0.01630566
g24,9,3,0.979570276,0,1.059709676,46.67059352,0.938281452,16000000,13.48328445,67206,14.46675221,0.943939665,1373,474,6,421,476,0,65833,14.16925736,0.020429724
g25,18,3,0.977637685,0,1.125960496,47.90401945,0.934025399,16000000,12.63001015,65512,14.50866813,0.946714416,1461,672,5,568,215,0,64047,14.01917348,0.022301258
g26,27,3,0.979724697,0,1.194093186,46.73241171,0.939229937,16000000,12.18902041,67126,15.53628017,0.955457348,1361,634,7,573,153,0,65765,14.54493369,0.020275303
g27,29,3,0.865917554,0.105578805,1.09175456,104.7517309,0.736432068,16000000,12.95064657,30347,7.939758803,0.9258019,867,320,7,341,202,3204,26278,7.738274045,0.028569546
g28,15,3,0.973654827,0,1.169242303,47.33470338,0.925230391,16000000,12.84855838,66274,15.71697525,0.937868098,1746,964,3,552,227,0,64528,14.25329573,0.026345173
g29,12,3,0.916691276,0.05640541,0.971140761,93.72061055,0.802358733,16000000,13.72714003,33862,7.992597516,0.942394041,913,494,4,169,245,1910,31041,7.790476731,0.026962377
g30,21,3,0.978619014,0,1.093923347,49.23654461,0.933918625,16000000,12.6219528,63795,14.82318491,0.934425997,1364,686,10,557,119,0,62431,13.7905162,0.021380986
g31,24,3,0.978748722,0,1.131551002,47.86924417,0.937316051,16000000,12.4433854,65549,13.91544595,0.958242588,1393,828,11,428,134,0,64156,13.69584238,0.021251278
g32,6,3,0.977408835,0,1.351116374,46.48085192,0.932675714,16000000,14.07061833,67460,15.58902535,0.942722023,1524,600,4,422,500,0,65936,14.19644754,0.022591165
