run_id,environment_parameters._obsNearbyCarsCount,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g1,1,2,0.982160991,0,1.235125536,47.55527271,0.943644492,16000000,12.82097516,65979,15.16592605,0.958718549,1177,488,4,463,223,0,64802,13.90782771,0.017839009
g0,1,1,0.977291055,0,1.162821414,45.13420374,0.935893908,16000000,12.70171567,69444,15.19970091,0.964175883,1577,864,4,548,162,0,67867,14.45805385,0.022708945
g3,2,1,0.854157893,0.077423953,1.267129038,102.9398838,0.683403526,16000000,13.47430717,30869,7.952793965,0.905836102,2120,790,15,423,907,2390,26367,7.522915244,0.068677314
g6,3,1,0.869072734,0.050111973,1.401578796,103.2082913,0.686277621,16000000,13.71921389,30811,7.911368483,0.916754319,2492,560,22,889,1043,1544,26777,7.442283427,0.080880205
g9,4,1,0.534907128,0.329444597,1.544654814,145.8320573,0.231081067,16000000,14.20977231,21858,7.687493697,0.769346452,2980,768,21,881,1331,7201,11692,6.88144363,0.136334523
g11,4,3,0.937985984,0.000921571,1.533977538,60.56442401,0.841307303,16000000,13.39429027,52085,15.13022606,0.888302583,3183,1018,5,845,1318,48,48855,13.3500144,0.061111644
g10,4,2,0.931444673,0.000264765,1.555774185,59.6565728,0.82743889,16000000,13.20222253,52877,15.22429754,0.887099639,3610,1388,16,880,1342,14,49252,12.43636846,0.068271649
g5,2,3,0.857706496,0.075188452,1.221403247,101.9025619,0.690996857,16000000,13.58882566,31175,7.939368496,0.920694617,2099,742,4,466,891,2344,26739,7.682869053,0.067329591
g4,2,2,0.962797336,0,1.2738349,49.81290176,0.901095325,16000000,12.87302896,63060,15.01468759,0.93116129,2346,1336,7,463,545,0,60714,13.55109052,0.037202664
g7,3,2,0.950020317,0.000194336,1.451441997,55.62162556,0.869341124,16000000,13.25879924,56603,15.22684492,0.905323314,2818,944,8,924,950,11,53774,13.49337234,0.049785347
g8,3,3,0.966576317,0,1.360926681,54.34058161,0.903512487,16000000,13.27581429,57923,15.63541723,0.90689247,1935,602,2,658,675,0,55987,13.72022208,0.033406419
g2,1,3,0.981476267,0,1.070691705,46.47010398,0.94319182,16000000,12.83201881,67481,14.59955468,0.956668897,1250,620,2,418,212,0,66231,14.13147023,0.018523733
g1,0,2,0.492429956,0,1.112192395,25.05996774,-0.020111259,16000000,N/A,123315,14.4850081,0.977812654,62591,60834,322,1653,104,0,60724,14.6346156,0.507570044
g0,0,1,0.481863598,0,1.056301951,39.32176875,-0.05808916,16000000,N/A,79867,7.95106306,0.964605999,41382,39870,162,1431,81,0,38485,9.35636381,0.518136402
g2,0,3,0.499326016,0,0.85620218,46.61629591,-0.035854121,16000000,N/A,67509,7.844434447,0.96529234,33799,32550,83,1216,32,0,33709,7.704026886,0.500659171
