run_id,environment_parameters._obsNearbyCarsGoal,environment_parameters._obsNearbyCarsVelocity,environment_parameters.try,p,h,DeltaThetaAvg,Final Mean Episode Length,Final Mean Reward,Max Steps,NearestCarDistAvg,Num Episodes,Park Velocity,RatioMoveTowardsPerEps,Total Crashes,Total Crashes Car,Total Crashes StartEpisode,Total Crashes StaticCar,Total Crashes Wall,Total Halted,Total Reached Goal,VelocityAvg,c
g1,0,0,1,0.977271404,0,1.11202475,45.64780463,0.934548502,16000000,12.73725724,68680,15.08245082,0.952621825,1561,900,5,370,291,0,67119,14.2647937,0.022728596
g0,0,0,0,0.983100132,0,1.022265581,45.11512892,0.947374557,16000000,12.72052622,69468,14.62458693,0.958937331,1174,570,6,465,138,0,68294,14.29702178,0.016899868
g3,0,1,0,0.975954578,0,1.079499134,44.47949325,0.933967835,16000000,12.39429436,70450,14.46763823,0.964448167,1694,1028,7,500,163,0,68756,14.31678854,0.024045422
g6,1,0,0,0.981420542,0,1.195091629,45.62839964,0.943816517,16000000,12.68422923,68678,15.06289885,0.965372484,1276,586,2,492,197,0,67402,14.33986975,0.018579458
g9,1,1,0,0.97342563,0,1.130343881,45.99114528,0.927796601,16000000,12.7394015,68186,14.95040719,0.958970157,1812,1100,14,563,148,0,66374,14.160616,0.02657437
g11,1,1,2,0.985207585,0,1.09986077,46.70612067,0.948971802,16000000,12.719682,67129,14.95664115,0.944834013,993,436,0,382,175,0,66136,14.04259634,0.014792415
g10,1,1,1,0.947045519,0.028696636,1.122814806,89.66215418,0.840081173,16000000,13.21208531,35370,7.895198443,0.953624883,856,394,1,220,240,1015,33497,7.847502737,0.024201301
g5,0,1,2,0.973179684,0,1.129961082,45.85005455,0.927075149,16000000,12.58825799,68381,14.33700371,0.957296874,1834,886,4,745,194,0,66547,14.46438963,0.026820316
g4,0,1,1,0.981622566,0,1.088125636,44.10415759,0.944955937,16000000,12.52160183,71011,15.43983775,0.961790492,1305,748,5,447,108,0,69706,14.72484179,0.018377434
g7,1,0,1,0.978051792,0,1.109155897,47.83670376,0.934883937,16000000,13.01254011,65609,15.15915082,0.95057242,1440,678,5,509,253,0,64169,14.21400661,0.021948208
g8,1,0,2,0.980344642,0,1.181822722,46.9007692,0.940380159,16000000,12.88236743,66852,14.53756005,0.958757144,1314,628,0,472,210,0,65538,14.08394814,0.019655358
g2,0,0,2,0.8160803,0.160938186,0.974630819,107.3945921,0.687833196,16000000,13.68051625,29589,7.994298813,0.916002022,679,306,3,215,156,4762,24147,7.878515346,0.022947717
g1,0,0,5,0.976780582,0,1.099208645,44.58734864,0.934543822,16000000,12.56733936,70286,15.48567644,0.954787212,1632,950,13,402,278,0,68654,14.37097029,0.023219418
g0,0,0,4,0.977376547,0,1.286382679,45.30899219,0.935100293,16000000,12.5710898,69176,14.02079977,0.956429148,1565,896,8,520,148,0,67611,14.64258165,0.022623453
g3,0,1,4,0.977790141,0,1.109958626,45.88996885,0.936216833,16000000,12.67246682,68303,15.50237949,0.957382963,1517,802,4,514,201,0,66786,14.64095989,0.022209859
g6,1,0,4,0.981604583,0,1.151791349,48.07579752,0.942400938,16000000,12.88555813,65288,13.99303122,0.956190886,1201,544,0,455,198,0,64087,13.89485802,0.018395417
g9,1,1,4,0.980287679,0,0.941245058,83.11500682,0.888297392,16000000,13.05960039,38098,7.984560207,0.974976544,750,396,4,206,145,0,37347,7.81971871,0.019686073
g11,1,1,6,0.975618956,0,1.28582671,47.33414635,0.929708274,16000000,12.79526168,66281,15.30465723,0.951644655,1616,764,5,608,244,0,64665,13.95787361,0.024381044
g10,1,1,5,0.978155675,0,1.334945892,48.19751452,0.934391694,16000000,12.8646353,65097,15.28329449,0.951010041,1422,628,2,477,316,0,63675,14.34900448,0.021844325
g5,0,1,6,0.984511133,0,1.099434138,45.98098321,0.949472746,16000000,12.73539019,68178,15.07240871,0.954518234,1056,450,5,402,203,0,67122,14.8080515,0.015488867
g4,0,1,5,0.975949692,0,1.217151784,47.42049763,0.931435809,16000000,12.58847262,66153,15.5093312,0.95588849,1591,786,11,386,411,0,64562,13.98667315,0.024050308
g7,1,0,5,0.981202451,0,1.222209316,46.40678378,0.941976204,16000000,12.76695098,67562,15.38092329,0.957616166,1270,562,0,486,220,0,66292,14.41679192,0.018797549
g8,1,0,6,0.984116311,0,1.225621789,46.86240324,0.947193226,16000000,12.87942183,66924,15.4336123,0.950672535,1063,462,4,438,161,0,65861,14.34884371,0.015883689
g2,0,0,6,0.982122183,0,1.104061349,47.17025512,0.942877385,16000000,12.72298184,66507,14.51403334,0.939849536,1189,602,7,482,104,0,65318,14.17841962,0.017877817
